employee_id,feedback
E001,I absolutely love my job and my team is amazing.
E002,I am very stressed because of my workload.
E003,The meeting was conducted today.
E004,I am happy with the support from my manager.
E005,The work environment is terrible and frustrating.
E006,I enjoy learning new technologies at work.
E007,My workload is extremely heavy and exhausting.
E008,Everything is okay and normal.
E009,I feel motivated and excited about the new project.
E010,I am disappointed with the lack of communication.
